"no","Agex","Agex_h","p11","p12","p13","p21","p22","p23","name"
"1","70","71","0.93902","0.05418","0.00680","0.18406","0.71432","0.10162","ATMgali"
"1","71","72","0.93593","0.05628","0.00779","0.17974","0.71095","0.10931","ATMgali"
"1","72","73","0.93265","0.05844","0.00892","0.17542","0.70706","0.11752","ATMgali"
"1","73","74","0.92913","0.06066","0.01021","0.17110","0.70263","0.12627","ATMgali"
"1","74","75","0.92538","0.06294","0.01168","0.16676","0.69764","0.13560","ATMgali"
"1","75","76","0.92136","0.06527","0.01337","0.16241","0.69207","0.14552","ATMgali"
"1","76","77","0.91704","0.06766","0.01530","0.15805","0.68589","0.15606","ATMgali"
"1","77","78","0.91239","0.07010","0.01750","0.15368","0.67908","0.16724","ATMgali"
"1","78","79","0.90739","0.07259","0.02001","0.14930","0.67162","0.17909","ATMgali"
"1","79","80","0.90200","0.07512","0.02288","0.14490","0.66348","0.19162","ATMgali"
"1","80","81","0.89616","0.07769","0.02615","0.14049","0.65466","0.20485","ATMgali"
"1","81","82","0.88984","0.08028","0.02988","0.13607","0.64514","0.21880","ATMgali"
"1","82","83","0.88299","0.08289","0.03412","0.13163","0.63490","0.23347","ATMgali"
"1","83","84","0.87554","0.08551","0.03895","0.12718","0.62393","0.24888","ATMgali"
"1","84","85","0.86743","0.08813","0.04444","0.12272","0.61224","0.26504","ATMgali"
"1","85","86","0.85860","0.09073","0.05067","0.11825","0.59982","0.28192","ATMgali"
"1","86","87","0.84897","0.09330","0.05773","0.11378","0.58668","0.29954","ATMgali"
"1","87","88","0.83846","0.09582","0.06572","0.10929","0.57283","0.31788","ATMgali"
"1","88","89","0.82699","0.09826","0.07475","0.10481","0.55828","0.33691","ATMgali"
"1","89","90","0.81445","0.10061","0.08494","0.10033","0.54306","0.35661","ATMgali"
"1","90","91","0.80076","0.10283","0.09641","0.09586","0.52720","0.37694","ATMgali"
"1","50","51","0.94441","0.05541","0.00018","0.20183","0.78984","0.00833","ATMsr"
"1","51","52","0.94222","0.05757","0.00021","0.19890","0.79190","0.00920","ATMsr"
"1","52","53","0.93995","0.05980","0.00024","0.19599","0.79386","0.01015","ATMsr"
"1","53","54","0.93760","0.06212","0.00028","0.19309","0.79570","0.01121","ATMsr"
"1","54","55","0.93516","0.06452","0.00032","0.19021","0.79742","0.01237","ATMsr"
"1","55","56","0.93262","0.06701","0.00037","0.18734","0.79900","0.01365","ATMsr"
"1","56","57","0.93000","0.06958","0.00042","0.18449","0.80045","0.01507","ATMsr"
