country,sex,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
LTU,male,2.95921352857246,19.7511474379539,4.0687127747503,13.6796271639119,24.8074719101124,21.8482583815399,5.05632447215845,20.7387591353621,11.1278447462005,35.1925280898876,38.151741618460065,54.943675527841506,39.261240864637905,48.872155253799505,Sullivan
LTU,female,5.49451866233146,28.1463934064246,5.4144582395157,20.7054915132012,32.2646338029638,26.7701151406323,4.11824039653919,26.8501755634481,11.5591422897626,27.7353661970362,33.22988485936766,55.8817596034608,33.1498244365519,48.440857710237395,Sullivan
LUX,male,3.45481918735202,25.4983999365136,6.61142569027362,11.6908892114982,31.27248989742,27.8176707100679,5.77408996090636,24.6610642071463,19.5816006859218,28.72751010258,32.18232928993202,54.2259100390936,35.33893579285362,40.4183993140782,Sullivan
LUX,female,3.64526594911492,28.7737772283644,7.34981930940218,14.8864878372107,34.9176418928579,31.2723759437429,6.14386466449352,27.5678225834557,20.0311540556471,25.0823581071421,28.72762405625702,53.856135335506494,32.43217741654428,39.9688459443528,Sullivan
LVA,male,1.87070434091949,17.5745879794806,2.99616920390295,13.9743434622217,24.0863286590809,22.2156243181614,6.51174067960028,21.090159455178,10.1119851968592,35.9136713409191,37.78437568183859,53.488259320399706,38.90984054482205,49.888014803140805,Sullivan
LVA,female,4.1897767442307,26.0089443788205,4.52948823576915,21.6258752941895,31.5461044050792,27.3563276608485,5.53716002625871,27.01661616931,9.92022911088968,28.4538955949208,32.6436723391515,54.4628399737413,32.98338383068995,50.0797708891103,Sullivan
POL,male,3.69385265267914,21.3002491540206,6.0402691452839,13.23191655652,26.7040389671969,23.0101863145177,5.40378981317626,20.663769821913,13.4721224106768,33.2959610328031,36.98981368548224,54.5962101868237,39.336230178087,46.5278775893231,Sullivan
POL,female,5.52672577648367,28.21979500054,8.30492981709067,17.7665460441739,32.8661399502088,27.3394141737252,4.6463449496688,24.5612101331182,15.0995939060349,27.133860049791203,32.660585826274875,55.3536550503312,35.438789866881876,44.9004060939651,Sullivan
SVK,male,1.4052116736069,13.7157991108327,1.91866722512909,6.25430695142977,26.3414293482317,24.9362176746248,12.625630237399,24.4227621231026,20.0871223968019,33.6585706517683,35.0637823253752,47.374369762601,35.57723787689739,39.91287760319807,Sullivan
SVK,female,3.3195241983744,21.6285482128973,4.55239881691248,11.2638088779492,32.029781840291,28.7102576419166,10.4012336273938,27.4773830233785,20.7659729623419,27.970218159709,31.289742358083398,49.5987663726063,32.52261697662148,39.2340270376582,Sullivan
SVN,male,3.28570096454857,22.2777318893269,6.1268418398655,11.6268354072175,29.6418486035952,26.3561476390466,7.36411671426828,23.5150067637297,18.0150131963777,30.3581513964048,33.64385236095337,52.6358832857317,36.4849932362703,41.9849868036223,Sullivan
