country,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,sex,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
FIN,30.6634598363047,28.0469968585841,4.36334717920035,26.7092629515346,17.6821930573244,2.61646297772066,26.3001126571044,3.95419688477019,12.9812667789804,male,29.3365401636953,31.95300314141596,55.636652820799696,33.29073704846549,42.3178069426757,CAL
FRATNP,31.4307276591123,27.5365592767216,7.02159568008938,26.1369766141161,19.5855701213171,3.89416838239068,24.4091319790229,5.29375104499618,11.8451575377951,male,28.5692723408877,32.46344072327838,52.978404319910595,33.86302338588388,40.414429878682796,CAL
GRC,30.6877451772757,29.0160252346648,9.28126984339488,29.0014313148752,22.523056346822,1.67171994261092,21.4064753338808,1.68631386240049,8.16468883045368,male,29.3122548227243,30.98397476533522,50.7187301566051,30.998568685124788,37.47694365317798,CAL
HUN,24.6976802720223,22.7947747967642,8.84265110107756,21.1136268738724,13.828062292912,1.90290547525811,15.8550291709447,3.58405339814989,10.8696179791103,male,35.302319727977704,37.20522520323581,51.15734889892241,38.886373126127594,46.171937707088006,CAL
ITA,32.0368429877027,29.2352691826127,9.91082552169299,27.6359447941238,19.7422082048027,2.80157380509004,22.1260174660098,4.400898193579,12.2946347829001,male,27.9631570122973,30.764730817387342,50.0891744783071,32.3640552058763,40.257791795197406,CAL
LTU,24.4467929571159,21.5449778075337,4.99975379092397,20.4463662957684,10.9927389291027,2.90181514958216,19.4470391661919,4.00042666134754,13.4540540280132,male,35.5532070428841,38.45502219246626,55.000246209075996,39.553633704231636,49.0072610708973,CAL
LUX,31.2106229244166,27.7687512228639,5.76294456481162,24.6155257879268,19.5449594968322,3.44187170155278,25.447678359605,6.59509713648985,11.6656634275844,male,28.7893770755834,32.23124877713618,54.237055435188395,35.38447421207325,40.4550405031678,CAL
LVA,24.031988957838,22.1688264923545,6.50339135472757,21.0443177834379,10.0982260419998,1.86316246548353,17.5285976031105,2.98767117440014,13.9337629158382,male,35.968011042162004,37.83117350764553,53.4966086452725,38.955682216562145,49.901773958000206,CAL
POL,26.5969497334799,22.9282911959607,5.39008699220381,20.5897796188548,13.4343503305236,3.66865853751927,21.2068627412761,6.00717011462515,13.1625994029563,male,33.4030502665201,37.07170880403937,54.609913007796195,39.410220381145244,46.5656496694764,CAL
SVK,26.2500629524529,24.8497525097979,12.5801346934273,24.3376397043668,20.0271395899736,1.40031044265507,13.6699282590256,1.91242324808616,6.22292336247936,male,33.7499370475471,35.15024749020217,47.4198653065727,35.66236029563326,39.972860410026456,CAL
SVN,29.55264634041,26.2963969292887,7.35636310047346,23.4612058112357,17.9856020542196,3.25624941112131,22.1962832399365,6.09144052917428,11.5670442861903,male,30.44735365959,33.70360307071131,52.6436368995265,36.53879418876428,42.0143979457803,CAL
SWE,32.2365487755347,29.4956083786192,9.86781663231966,27.934266281335,23.8600285789901,2.74094039691551,22.368732143215,4.3022824941997,8.37652019654455,male,27.7634512244653,30.504391621380808,50.1321833676803,32.065733718665,36.13997142100985,CAL
PRT,30.2959463206869,25.70345061419,8.41972152109567,25.8600411138836,16.3939605708678,4.59249570649688,21.8762247995912,4.43590520680325,13.9019857498191,male,29.7040536793131,34.29654938580998,51.5802784789043,34.13995888611635,43.606039429132196,CAL
