"age","ex1","ex2","p1","p2","sex","region","health"
61,3.3172,5.6461,0.91842,0.08163,"F","N","IADL"
62,3.2502,5.5463,0.91312,0.08693,"F","N","IADL"
63,3.1808,5.4422,0.90755,0.09251,"F","N","IADL"
64,3.1091,5.3339,0.90169,0.09837,"F","N","IADL"
65,3.0351,5.2219,0.89553,0.10453,"F","N","IADL"
66,2.959,5.1062,0.88908,0.11099,"F","N","IADL"
67,2.8808,4.9874,0.88232,0.11775,"F","N","IADL"
68,2.8008,4.8657,0.87524,0.12483,"F","N","IADL"
69,2.7189,4.7415,0.86784,0.13223,"F","N","IADL"
70,2.6355,4.6152,0.86012,0.13996,"F","N","IADL"
71,2.5505,4.4871,0.85206,0.14803,"F","N","IADL"
72,2.4644,4.3577,0.84366,0.15643,"F","N","IADL"
73,2.3771,4.2273,0.83492,0.16518,"F","N","IADL"
74,2.2891,4.0964,0.82581,0.17429,"F","N","IADL"
75,2.2003,3.9653,0.81634,0.18377,"F","N","IADL"
76,2.1112,3.8344,0.80649,0.19363,"F","N","IADL"
77,2.0219,3.704,0.79624,0.20388,"F","N","IADL"
78,1.9327,3.5746,0.78559,0.21454,"F","N","IADL"
79,1.8437,3.4465,0.7745,0.22563,"F","N","IADL"
80,1.7553,3.3199,0.76296,0.23718,"F","N","IADL"
81,1.6677,3.1952,0.75094,0.24921,"F","N","IADL"
82,1.5811,3.0727,0.73839,0.26176,"F","N","IADL"
83,1.4957,2.9525,0.72529,0.27487,"F","N","IADL"
84,1.4118,2.8349,0.71157,0.2886,"F","N","IADL"
85,1.3296,2.7201,0.69717,0.30301,"F","N","IADL"
86,1.2493,2.6082,0.68203,0.31816,"F","N","IADL"
87,1.171,2.4994,0.66605,0.33414,"F","N","IADL"
88,1.095,2.3939,0.64914,0.35107,"F","N","IADL"
89,1.0214,2.2916,0.63119,0.36903,"F","N","IADL"
90,0.9503,2.1926,0.61206,0.38817,"F","N","IADL"
91,0.8818,2.0971,0.5916,0.40864,"F","N","IADL"
92,0.8162,2.0049,0.56966,0.43059,"F","N","IADL"
93,0.7533,1.9163,0.54606,0.4542,"F","N","IADL"
94,0.6934,1.831,0.52063,0.47965,"F","N","IADL"
95,0.6364,1.7492,0.49321,0.50709,"F","N","IADL"
96,0.5823,1.6707,0.46365,0.53663,"F","N","IADL"
97,0.5312,1.5956,0.4319,0.56835,"F","N","IADL"
98,0.483,1.5237,0.39802,0.60222,"F","N","IADL"
99,0.4378,1.4551,0.36223,0.63799,"F","N","IADL"
100,0.3953,1.3897,0.325,0.67519,"F","N","IADL"
101,0.3557,1.3273,0.28709,0.71308,"F","N","IADL"
102,0.3188,1.268,0.24953,0.75062,"F","N","IADL"
103,0.2845,1.2116,0.21355,0.78657,"F","N","IADL"
104,0.2528,1.1581,0.18038,0.81972,"F","N","IADL"
105,0.2236,1.1074,0.151,0.84909,"F","N","IADL"
106,0.1967,1.0594,0.12592,0.87416,"F","N","IADL"
107,0.1721,1.014,0.10512,0.89494,"F","N","IADL"
108,0.1498,0.9712,0.08818,0.91187,"F","N","IADL"
109,0.1295,0.9309,0.07448,0.92557,"F","N","IADL"
110,0.1113,0.8929,0.06335,0.93669,"F","N","IADL"
50,1.9271,2.9788,0.98911,0.01089,"M","N","IADL"
51,1.9172,3.0054,0.98793,0.01208,"M","N","IADL"
52,1.9064,3.0316,0.98663,0.01338,"M","N","IADL"
53,1.8944,3.0571,0.9852,0.01481,"M","N","IADL"
54,1.8814,3.0816,0.98362,0.01639,"M","N","IADL"
55,1.8671,3.1047,0.9819,0.01811,"M","N","IADL"
56,1.8514,3.126,0.98,0.02001,"M","N","IADL"
57,1.8344,3.1451,0.97793,0.02208,"M","N","IADL"
58,1.8158,3.1616,0.97566,0.02435,"M","N","IADL"
59,1.7957,3.1751,0.97319,0.02682,"M","N","IADL"
60,1.7739,3.185,0.9705,0.02952,"M","N","IADL"
61,1.7504,3.1911,0.96758,0.03244,"M","N","IADL"
62,1.7251,3.1928,0.96441,0.03561,"M","N","IADL"
63,1.6979,3.1898,0.96098,0.03904,"M","N","IADL"
64,1.669,3.1818,0.95728,0.04274,"M","N","IADL"
65,1.6381,3.1686,0.9533,0.04673,"M","N","IADL"
66,1.6054,3.1499,0.94901,0.05101,"M","N","IADL"
67,1.5708,3.1257,0.94442,0.05561,"M","N","IADL"
68,1.5343,3.0959,0.93952,0.06052,"M","N","IADL"
69,1.4962,3.0605,0.93429,0.06575,"M","N","IADL"
70,1.4563,3.0198,0.92872,0.07132,"M","N","IADL"
71,1.4148,2.9739,0.92282,0.07723,"M","N","IADL"
72,1.3719,2.923,0.91657,0.08348,"M","N","IADL"
73,1.3276,2.8676,0.90996,0.09009,"M","N","IADL"
74,1.2821,2.8079,0.90301,0.09705,"M","N","IADL"
75,1.2356,2.7444,0.8957,0.10437,"M","N","IADL"
76,1.1882,2.6776,0.88802,0.11204,"M","N","IADL"
77,1.1401,2.608,0.87999,0.12008,"M","N","IADL"
78,1.0916,2.5359,0.87158,0.1285,"M","N","IADL"
79,1.0427,2.462,0.86279,0.13729,"M","N","IADL"
80,0.9938,2.3866,0.85362,0.14647,"M","N","IADL"
81,0.9449,2.3103,0.84404,0.15605,"M","N","IADL"
82,0.8963,2.2334,0.83404,0.16606,"M","N","IADL"
83,0.8482,2.1564,0.82358,0.17652,"M","N","IADL"
84,0.8007,2.0796,0.81264,0.18747,"M","N","IADL"
85,0.7541,2.0034,0.80118,0.19894,"M","N","IADL"
86,0.7084,1.9281,0.78912,0.21101,"M","N","IADL"
87,0.6638,1.854,0.77639,0.22374,"M","N","IADL"
88,0.6205,1.7813,0.76291,0.23722,"M","N","IADL"
89,0.5785,1.7102,0.74857,0.25158,"M","N","IADL"
90,0.5379,1.6409,0.73321,0.26694,"M","N","IADL"
91,0.4989,1.5736,0.71668,0.28349,"M","N","IADL"
92,0.4615,1.5084,0.69876,0.30142,"M","N","IADL"
93,0.4258,1.4453,0.67921,0.32097,"M","N","IADL"
94,0.3917,1.3845,0.65772,0.34248,"M","N","IADL"
95,0.3593,1.326,0.63395,0.36627,"M","N","IADL"
96,0.3286,1.2699,0.60745,0.39277,"M","N","IADL"
97,0.2997,1.2161,0.57776,0.42248,"M","N","IADL"
98,0.2724,1.1647,0.54435,0.45592,"M","N","IADL"
99,0.2468,1.1157,0.50666,0.49363,"M","N","IADL"
100,0.2228,1.0691,0.46423,0.53605,"M","N","IADL"
101,0.2003,1.0247,0.41678,0.58347,"M","N","IADL"
102,0.1794,0.9827,0.36451,0.6357,"M","N","IADL"
103,0.16,0.943,0.30841,0.69177,"M","N","IADL"
104,0.142,0.9055,0.25059,0.74956,"M","N","IADL"
105,0.1254,0.8702,0.19435,0.80576,"M","N","IADL"
106,0.1101,0.837,0.14371,0.85637,"M","N","IADL"
107,0.0961,0.8058,0.10213,0.89793,"M","N","IADL"
108,0.0833,0.7767,0.0712,0.92884,"M","N","IADL"
109,0.0717,0.7496,0.0501,0.94993,"M","N","IADL"
110,0.0613,0.7243,0.03645,0.96357,"M","N","IADL"
50,5.7372,7.3041,0.9811,0.01891,"F","S","IADL"
51,5.7242,7.3453,0.97847,0.02154,"F","S","IADL"
52,5.7089,7.3832,0.97549,0.02453,"F","S","IADL"
53,5.691,7.4167,0.97211,0.0279,"F","S","IADL"
54,5.6701,7.4449,0.9683,0.03172,"F","S","IADL"
55,5.6459,7.4665,0.96399,0.03603,"F","S","IADL"
